,last_felled,collembola_a,collembola_b,dermaptera_a,dermaptera_b,hemiptera_a,hemiptera_b,coleoptera_a,coleoptera_b,coleoptera_c,coleoptera_d,diptera_a,diptera_b,diptera_c,diptera_d,diptera_e,diptera_f,diptera_g,diptera_h,diptera_i,diptera_j,diptera_k,diptera_l,diptera_m,hymenoptera_b,hymenoptera_c,hymenoptera_d,hymenoptera_e,mollusca_a,mollusca_b,arachnida_a,arachnida_b,arachnida_c,arachnida_d,arachnida_e,arachnida_f,arachnida_g,arachnida_h,other_a,other_b,other_c,other_d
1a,1988,4,0,0,0,1,0,1,0,0,0,4,1,2,1,1,0,0,0,0,0,0,0,0,2,16,1,0,3,0,3,1,1,0,0,0,0,0,0,0,0,0
1b,1988,2,1,2,1,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,1,0,0,0,3,2,0,0,1,0,0,0
1c,1988,0,3,2,0,1,1,0,0,0,0,1,3,1,0,0,4,0,0,0,0,0,0,0,2,4,0,0,0,0,4,0,0,0,2,0,1,2,0,2,0,0
1d,1988,1,0,0,0,0,9,1,0,0,0,4,1,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,1,8,0,0,0,2,1,0,0,0,1,0,0
2a,1998,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,4,0,7,2,1,1,0,0,1,18,0,0,0,0,1,1,0,0,0,1,3,0,0,2,18,0
2b,1998,4,2,0,0,1,3,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
2c,1998,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,1,2,0,0,0,6,0,0,0,0
2d,1998,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0
3a,2008,1,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
3b,2008,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0
3c,2008,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3d,2008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
