,Number_saplings,Mean_DBH,Number_stems/plot,Standard_deviation_DBH,years_since_disturbance,Collembola,Dermaptera,Hemiptera,Coleoptera,Diptera,Hymenoptera,Mollusa,Arachnida,Other
1a,19,20.08823529,36,10.82288561,34,4,0,1,1,9,19,3,5,0
1b,8,24.835,18,14.49041925,34,3,3,0,1,6,11,3,6,1
1c,17,20.43333333,26,18.21283888,34,3,2,2,0,9,6,0,9,2
1d,19,17.95,39,5.038744622,34,1,0,9,1,9,2,1,11,1
2a,16,15.29090909,27,2.768918397,24,0,0,1,2,19,19,0,6,20
2b,23,39.25,35,23.67758818,24,6,0,4,1,6,2,0,2,1
2c,24,37.30909091,35,8.602843082,24,3,0,0,2,1,2,0,14,0
2d,0,29.6483871,31,6.889454307,24,3,0,0,0,5,2,0,7,0
3a,34,0,34,0,14,1,0,2,0,3,0,0,2,1
3b,27,0,27,0,14,1,0,0,0,6,1,2,2,0
3c,6,0,6,0,14,0,0,0,0,5,0,0,0,0
3d,25,0,25,0,14,0,0,0,0,1,0,0,2,0
